k_hMpc,T_stage3_dictionary,T_v183_clipped,P_suppression_stage3,P_suppression_v183
0.03566057411535703,0.9999223414944914,1.0,0.9998446890198264,1.0
0.03640495660268442,0.9999190660958109,1.0,0.9998381387419187,1.0
0.03716487740651919,0.9999156525746601,1.0,0.9998313122638083,1.0
0.037940660875276304,0.9999120951085143,1.0,0.9998241979442986,1.0
0.03873263812785284,0.9999083876295778,1.0,0.999816783651982,1.0
0.03954114719495577,0.9999045238144689,1.0,0.9998090567446398,1.0
0.040366533163379764,0.999900497073468,1.0,0.9998010040477683,1.0
0.04120914832329666,0.9998963005393205,1.0,0.9997926118322192,1.0
0.04206935231861956,0.9998919270555655,1.0,0.9997838657908923,1.0
0.04294751230050553,0.9998873691643779,1.0,0.999774751014461,1.0
0.043844003084062666,0.9998826190939013,1.0,0.9997652519660797,1.0
0.04475920730832806,0.9998776687450495,1.0,0.9997553524550349,1.0
0.045693515599585406,0.9998725096777549,1.0,0.9997450356092921,1.0
0.04664732673809156,0.9998671330966438,1.0,0.9997342838469016,1.0
0.04762104782828342,0.999861529836111,1.0,0.9997230788462083,1.0
0.048615094472537757,0.9998556903447677,1.0,0.9997114015148121,1.0
0.04962989094855801,0.9998496046692442,1.0,0.999699231957244,1.0
0.05066587039046399,0.9998432624373121,1.0,0.9996865494412879,1.0
0.05172347497366162,0.9998366528403017,1.0,0.9996733323628979,1.0
0.05280315610357164,0.9998297646147865,1.0,0.9996595582096592,1.0
0.053905374608298015,0.9998225860235036,1.0,0.9996452035227262,1.0
0.055030600935317774,0.9998151048354745,1.0,0.9996302438571709,1.0
0.056179315352276965,0.9998073083053023,1.0,0.9996146537406938,1.0
0.05735200815197781,0.9997991831516017,1.0,0.99959840663061,1.0
0.05854917986164483,0.9997907155345318,1.0,0.9995814748690511,1.0
0.05977134145655924,0.9997818910323942,1.0,0.9995638296363102,1.0
0.061019014578152855,0.9997726946172564,1.0,0.9995454409022497,1.0
0.062292731756654215,0.9997631106295612,1.0,0.9995262773756963,1.0
0.0635930366383826,0.999753122751682,1.0,0.9995063064517399,1.0
0.0649204842177864,0.9997427139803774,1.0,0.9994854941568507,1.0
0.06627564107432511,0.9997318665981054,1.0,0.999463805091732,1.0
0.06765908561429614,0.9997205621431449,1.0,0.9994412023718056,1.0
0.06907140831770929,0.9997087813784797,1.0,0.999417647565245,1.0
0.07051321199031477,0.9996965042593945,1.0,0.9993931006284535,1.0
0.07198511202089194,0.9996837098997279,1.0,0.9993675198388833,1.0
0.07348773664390873,0.9996703765367322,1.0,0.999340861725092,1.0
0.07502172720766398,0.9996564814944782,1.0,0.99931308099392,1.0
0.0765877384480267,0.999642001145752,1.0,0.9992841304546836,1.0
0.07818643876788975,0.9996269108723792,1.0,0.9992539609402555,1.0
0.0798185105224566,0.9996111850239133,1.0,0.9992225212249123,1.0
0.0814846503104833,0.9995947968746253,1.0,0.9991897579388234,1.0
0.08318556927160004,0.999577718578723,1.0,0.9991556154790447,1.0
0.08492199338983855,0.9995599211237329,1.0,0.9991200359168831,1.0
0.08669466380349587,0.9995413742819683,1.0,0.9990829589014859,1.0
0.08850433712146599,0.9995220465600081,1.0,0.999044321559507,1.0
0.09035178574617461,0.9995019051461085,1.0,0.9990040583907004,1.0
0.09223779820325519,0.9994809158554678,1.0,0.9989621011592847,1.0
0.09416317947810605,0.9994590430732513,1.0,0.9989183787808992,1.0
0.09612875135947356,0.9994362496953009,1.0,0.9988728172050078,1.0
0.09813535279020669,0.9994124970664255,1.0,0.998825339292548,1.0
0.10018384022533364,0.9993877449161892,1.0,0.9987758646886661,1.0
0.10227508799761299,0.99936195129209,1.0,0.9987243096903338,1.0
0.10440998869071497,0.9993350724900365,1.0,0.9986705871086665,1.0
0.10658945352019308,0.9993070629820114,1.0,0.9986146061257338,1.0
0.10881441272240791,0.9992778753408168,1.0,0.998556272145657,1.0
0.1110858159515694,0.9992474601617884,1.0,0.998495486639785,1.0
0.113404632685067,0.9992157659813671,1.0,0.9984321469857301,1.0
0.11577185263726077,0.9991827391923985,1.0,0.9983661463000247,1.0
0.11818848618190993,0.9991483239560484,1.0,0.9982973732641806,1.0
0.12065556478341963,0.9991124621102009,1.0,0.9982257119439076,1.0
0.12317414143708864,0.9990750930742075,1.0,0.9981510416012364,1.0
0.1257452911185479,0.9990361537498532,1.0,0.9980732364993004,1.0
0.1283701112425801,0.9989955784183997,1.0,0.997992165699513,1.0
0.13104972213151678,0.9989532986335615,1.0,0.9979076928508736,1.0
0.133785267493413,0.9989092431102667,1.0,0.997819675971126,1.0
0.13657791491020316,0.9988633376090486,1.0,0.9977279672194881,1.0
0.13942885633604696,0.9988155048159141,1.0,0.9976324126606693,1.0
0.14233930860607766,0.998765664217526,1.0,0.9975328520198758,1.0
0.14531051395576994,0.9987137319715317,1.0,0.9974291184285045,1.0
0.14834374055114982,0.9986596207718725,1.0,0.9973210381602202,1.0
0.1514402830300708,0.9986032397088976,1.0,0.997208430357106,1.0
0.15460146305479003,0.998544494124102,1.0,0.9970911067455587,1.0
0.15782862987607846,0.9984832854593091,1.0,0.9969688713416162,1.0
0.16112316090910617,0.9984195111001113,1.0,0.9968415201453853,1.0
0.164486462321349,0.9983530642133762,1.0,0.9967088408242377,1.0
0.16791996963276715,0.998283833578624,1.0,0.996570612384434,1.0
0.17142514832851194,0.998211703413083,1.0,0.9964266048308487,1.0
0.17500349448442226,0.9981365531902118,1.0,0.9962765788144364,1.0
0.1786565354055776,0.9980582574514988,1.0,0.9961202852671223,1.0
0.18238583027818106,0.997976685611316,1.0,0.9959574650237475,1.0
0.18619297083504818,0.9978917017546297,1.0,0.9957878484307509,1.0
0.19007958203498906,0.9978031644273482,1.0,0.9956111549412296,1.0
0.19404732275637082,0.9977109264190996,1.0,0.9954270926960581,1.0
0.19809788650515808,0.9976148345382191,1.0,0.9952353580907183,1.0
0.20223300213773293,0.9975147293787349,1.0,0.9950356353275307,1.0
0.20645443459880317,0.9974104450791349,1.0,0.994827595952958,1.0
0.21076398567471374,0.997301809072702,1.0,0.9946108983796843,1.0
0.21516349476248284,0.997188641829204,1.0,0.9943851873931724,1.0
0.21965483965489094,0.9970707565877244,1.0,0.9941500936424171,1.0
0.2242399373419577,0.9969479590804343,1.0,0.9939052331146433,1.0
0.22892074482915012,0.9968200472470935,1.0,0.9936502065936977,1.0
0.23369925997266755,0.9966868109400905,1.0,0.9933845991019277,1.0
0.2385775223321652,0.9965480316198256,1.0,0.993107979325349,1.0
0.24355761404127602,0.9964034820402605,1.0,0.9928198990219558,1.0
0.24864166069630428,0.9962529259244556,1.0,0.9925198924130387,1.0
0.25383183226346984,0.9960961176299363,1.0,0.9922074755574319,1.0
0.25913034400509033,0.9959328018037422,1.0,0.9918821457086521,1.0
0.2645394574250967,0.995762713027023,1.0,0.9915433806549374,1.0
0.27006148123428514,0.9955855754490692,1.0,0.9911906380422543,1.0
0.2756987723357179,0.9954011024106771,1.0,0.9908233546803914,1.0
0.28145373683069463,0.9952089960567795,1.0,0.9904409458323429,1.0
0.28732883104572005,0.9950089469382896,1.0,0.9900428044872439,1.0
0.2933265625809107,0.9948006336031392,1.0,0.9896283006172072,1.0
0.2994494913802858,0.9945837221765218,1.0,0.9891967804185047,1.0
0.30570023082439884,0.9943578659303842,1.0,0.988747565537628,1.0
0.3120814488457773,0.9941227048422452,1.0,0.9882799522828617,1.0
0.3185958690676467,0.9938778651434765,1.0,0.9877932108221545,1.0
0.3252462719664232,0.9936229588572038,1.0,0.9872865843681444,1.0
0.33203549605847343,0.9933575833260562,1.0,0.9867592883513826,1.0
0.33896643911164587,0.9930813207300395,1.0,0.9862105095829197,1.0
0.3460420593820938,0.9927937375948674,1.0,0.9856394054075865,1.0
0.3532653768769124,0.9924943842911506,1.0,0.98504510284947,1.0
0.36063947464313534,0.9921827945249215,1.0,0.9844266977512827,1.0
0.36816750008363686,0.9918584848200389,1.0,0.9837832539095034,1.0
0.3758526663005021,0.9915209539931074,1.0,0.9831138022074017,1.0
0.38369825346643927,0.9911696826216287,1.0,0.9824173397482603,1.0
0.3917076102248186,0.9908041325062127,1.0,0.9816928289913887,1.0
0.3998841551189359,0.9904237461277543,1.0,0.9809391968937343,1.0
0.40823137805111115,0.9900279461006237,1.0,0.9801553340602195,1.0
0.4167528417722432,0.9896161346230073,1.0,0.9793400939061822,1.0
0.42545218340246055,0.9891876929256802,1.0,0.9784922918356298,1.0
0.4343331159835096,0.9887419807206207,1.0,0.9776107044393363,1.0
0.44339943006355204,0.988278335651016,1.0,0.9766940687171421,1.0
0.45265499531504116,0.9877960727443598,1.0,0.9757410813291805,1.0
0.4621037621863706,0.9872944838705066,1.0,0.9747503978811299,1.0
0.4717497635879997,0.9867728372067058,1.0,0.973720632248972,1.0
0.48159711661377486,0.9862303767118205,1.0,0.9726503559491393,1.0
0.4916500242981824,0.9856663216121174,1.0,0.9715380975603621,1.0
0.5019127774102823,0.9850798659012036,1.0,0.9703823422039332,1.0
0.5123897562850885,0.9844701778568902,1.0,0.9691815310895769,1.0
0.523085432693178,0.983836399577963,1.0,0.9679340611345293,1.0
0.5340043717493269,0.9831776465440564,1.0,0.9666382846639094,1.0
0.5451512338609853,0.9824930072020481,1.0,0.9652925092009238,1.0
0.5565307767174273,0.98178154258261,1.0,0.9638949973558892,1.0
0.5681478573204217,0.9810422859507812,1.0,0.9624439668235344,1.0
0.5800074340572913,0.9802742424946677,1.0,0.9609375904984945,1.0
0.5921145688172448,0.9794763890565843,1.0,0.9593739967193253,1.0
0.6044744291518868,0.9786476739112174,1.0,0.9577512696518365,1.0
0.6170922904808245,0.9777870165955833,1.0,0.9560674498228915,1.0
0.6299735383433162,0.9768933077958124,1.0,0.9543205348162439,1.0
0.6431236706969189,0.9759654092959837,1.0,0.9525084801422771,1.0
0.6565483002641228,0.975002153994468,1.0,0.9506292002938522,1.0
0.6702531569279617,0.9740023459934126,1.0,0.9486805700006715,1.0
0.6842440901776373,0.9729647607672034,1.0,0.9466604256947814,1.0
0.6985270716051895,0.9718881454158907,1.0,0.9445665671999396,1.0
0.713108197454284,0.9707712190097169,1.0,0.9423967596576116,1.0
0.7279936912222031,0.9696126730309933,1.0,0.940148735702308,1.0
0.7431899063161507,0.9684111719196616,1.0,0.9378201978988124,1.0
0.7587033287650052,0.9671653537289303,1.0,0.9354088214536069,1.0
0.7745405799876782,0.965873830897377,1.0,0.9329122572123748,1.0
0.790708419619259,0.9645351911438863,1.0,0.9303281349549732,1.0
0.8072137483961564,0.9631479984917016,1.0,0.9276540669985709,1.0
0.8240636111014579,0.9617107944277388,1.0,0.9248876521188324,1.0
0.841265199571777,0.9602220992031033,1.0,0.9220264797980143,1.0
0.8588258557668641,0.9586804132805065,1.0,0.9190681348076827,1.0
0.8767530749032912,0.9570842189339298,1.0,0.9160102021323705,1.0
0.8950545086535512,0.9554319820054947,1.0,0.912850272238948,1.0
0.9137379684119344,0.9537221538240018,1.0,0.9095859466946931,1.0
0.9328114286285785,0.9519531732890503,1.0,0.9062148441350926,1.0
0.9522830302131117,0.9501234691239805,1.0,0.9027346065801876,1.0
0.9721610840093456,0.9482314623001624,1.0,0.8991429060959043,1.0
0.9924540743425024,0.9462755686343025,1.0,0.8954374517941726,1.0
1.0131706626404773,0.9442542015595389,1.0,0.8916159971628422,1.0
1.0343196911307018,0.9421657750700643,1.0,0.8876763477133749,1.0
1.0559101866141718,0.9400087068379267,1.0,0.8836163689311112,1.0
1.077951364318254,0.9377814214994609,1.0,0.8794339945095495,1.0
1.100452631829918,0.9354823541075298,1.0,0.8751272348465657,1.0
1.1234235931110699,0.9331099537444043,1.0,0.8706941857768844,1.0
1.1468740525977037,0.9306626872886943,1.0,0.8661330375114139,1.0
1.1708140193846173,0.9281390433282478,1.0,0.8614420837502751,1.0
1.195253711497481,0.9255375362094183,1.0,0.8566197309326002,1.0
1.2202035602540826,0.922856710211515,1.0,0.8516645075824203,1.0
1.2456742147166115,0.920095143833673,1.0,0.8465750737063074,1.0
1.271676546236872,0.9172514541797598,1.0,0.8413502301948841,1.0
1.298221653096384,0.9143243014253699,1.0,0.8359889281769907,1.0
1.3253208652433357,0.9113123933493755,1.0,0.8304902782721669,1.0
1.3529857491284176,0.9082144899110144,1.0,0.8248535596843241,1.0
1.3812281126416004,0.9050294078520414,1.0,0.8190782290770168,1.0
1.410060010151963,0.9017560253021459,1.0,0.8131639291687245,1.0
1.4394937476527223,0.8983932863646004,1.0,0.8071104969849868,1.0
1.4695418880136621,0.8949402056580289,1.0,0.8009179717032351,1.0
1.5002172563431992,0.8913958727892615,0.9999275890847039,0.7945866020257292,0.9998551834127485
1.5315329454623854,0.887759456731502,0.989651888544847,0.7881168530162116,0.9794108605003823
1.563502321493159,0.884030210081508,0.9794817856729988,0.7815094123367551,0.9593845684651664
1.596139029563263,0.880207473169167,0.9694161953005669,0.7747651958228499,0.9397677597110269
1.6294569996302382,0.8762906779927855,0.9594540434106341,0.7678853523370557,0.920552061417015
